sims remaining: 184 8
sims remaining: 176 16
sims remaining: 168 24
sims remaining: 160 32
sims remaining: 152 40
sims remaining: 144 48
sims remaining: 136 56
sims remaining: 128 64
sims remaining: 120 72
sims remaining: 112 80
sims remaining: 104 88
sims remaining: 96 96
sims remaining: 88 104
sims remaining: 80 112
sims remaining: 72 120
sims remaining: 64 128
sims remaining: 56 136
sims remaining: 48 144
sims remaining: 40 152
sims remaining: 32 160
sims remaining: 24 168
sims remaining: 16 176
sims remaining: 8 184
sims remaining: 0 192
