
MC properties:
   MC Sweeps:       70000
   Mesh disp:       1.500000
   Bias type:       Minimum
   Bias strength:   20.000000
   Bias location:   29.304348
   InitialHeight:   29.304348
   RandSeed:        2
   Boundary Cond:   Frame

Mesh Properties:
   Bending Modulus: 20.000000
   Lx:              840.000000
   Ly:              840.000000
   Node nums in x:  70
   Node nums in y:  70

Particle Properties:
   Ptype num:       3
   Lengths:         3.5 17.5 20.0 7.5 17.5 30.0
   Binding str:     10.5 0.0 4.75
   Binding ranges:  4.0 0.0 4.0
   Densities:       200.0 4000.0 500.0 200.0 7520.0 480.0
   PDiam:           4.000000

Output Options:
   Tag:             Z_29.304347826086957
   OutputDir:       ../Simulation_Results/
   Framenums:       0
   Datanums:        50000
   Histbnums:       0

Restart Info:
   Inputfilename:   None
   Equil option:    No

Error Check:        Naw

#Sweep(1) TAcc(2) NAcc(3) SHAcc(4) TotE(5) MeshE(6) BiasE(7) Veff(8) ZBot(9) ZTop(10) TotAreaBot(11) TotAreaTop(12) TotPop(13) TotPopBot(14) TotPopTop(15) ThetaValTop(16) ThetaValBot(17) NBot1(18) NBot2(19) NBot3(20) NTop1(21) NTop2(22) NTop3(23) Bonds1(24) Bonds2(25) Bonds3(26) 
19 0.55 0.55 0.44 2615.052105 2144.438075 19.728137 450.885893 -15.280104 15.883750 705600.000000 707759.463943 1004.522645 354.441235 650.081410 28.313463 0.301823 17.066183 299.888935 37.486117 17.195466 599.997972 32.887972 0.000000 0.000000 0.000000 
20 0.55 0.55 0.44 2526.982630 2053.271020 20.948393 452.763218 -15.280104 15.888320 705600.000000 707760.913921 1004.680072 354.580361 650.099711 28.283174 0.304108 17.072932 300.006604 37.500825 17.202214 600.233396 32.664102 0.000000 0.000000 0.000000 
21 0.55 0.55 0.47 2553.855552 2089.953135 19.188638 444.713779 -15.280104 16.014846 705600.000000 707827.999416 1004.021949 354.001623 650.020326 28.328293 0.367371 17.045510 299.518280 37.437833 17.173318 599.240765 33.606242 0.000000 0.000000 0.000000 
22 0.55 0.55 0.47 2560.692019 2096.614174 19.197579 444.880267 -15.280104 16.038793 705600.000000 707931.447781 1004.074791 354.055043 650.019748 28.328293 0.379345 17.046550 299.569176 37.439317 17.173998 599.303536 33.542214 0.000000 0.000000 0.000000 
23 0.55 0.55 0.50 2544.838438 2082.548722 18.189137 444.100579 -15.280104 16.068928 705600.000000 707914.787627 1004.009749 353.997611 650.012138 28.354780 0.394412 17.044091 299.520312 37.433208 17.171197 599.205771 33.635171 0.000000 0.000000 0.000000 
24 0.55 0.55 0.48 2544.718111 2084.050225 18.194144 442.473741 -15.280104 16.081524 705600.000000 707864.845243 1003.888567 353.893159 649.995407 28.354780 0.400710 17.038104 299.434523 37.420533 17.165382 599.018505 33.811520 0.000000 0.000000 0.000000 
25 0.55 0.55 0.48 2498.245842 2038.220535 18.195039 441.830269 -15.280104 16.083753 705600.000000 707834.165985 1003.827028 353.837459 649.989569 28.354780 0.401825 17.035901 299.386102 37.415456 17.163053 598.929440 33.897076 0.000000 0.000000 0.000000 
26 0.55 0.55 0.48 2478.559154 2022.311872 14.356744 441.890538 -15.280104 16.088447 705600.000000 707818.759488 1003.839731 353.850010 649.989720 28.461929 0.404171 17.036077 299.397969 37.415964 17.163286 598.945372 33.881062 0.000000 0.000000 0.000000 
27 0.55 0.55 0.50 2488.673159 2056.684993 5.782607 426.205559 -15.669535 16.094205 705600.000000 707859.135337 1002.591328 352.758158 649.833170 28.768740 0.212335 16.985120 298.479668 37.293370 17.107050 597.045598 35.680521 0.000000 0.000000 0.000000 
28 0.55 0.55 0.50 2500.078565 2068.946075 5.713109 425.419381 -15.669535 16.118782 705600.000000 707891.509522 1002.533631 352.708577 649.825054 28.772246 0.224623 16.982839 298.438491 37.287247 17.104242 596.955402 35.765410 0.000000 0.000000 0.000000 
